code,name,total_return,annual_return,sharpe,mdd,win_rate,signal_ratio,excess_return
600519,贵州茅台,-11.32%,-2.60%,-0.38,-25.49%,36.36%,27.4%,0.97%
000858,五粮液,-43.35%,-31.56%,-2.52,-45.38%,26.00%,23.8%,-22.54%
601318,中国平安,7.50%,4.71%,0.25,-9.57%,35.86%,24.5%,-27.67%
600036,招商银行,-96.80%,-352.59%,-0.81,-100.85%,30.10%,17.5%,-24.44%
000333,美的集团,8.06%,5.77%,0.23,-25.37%,34.75%,22.4%,1.92%
002415,海康威视,-4.56%,-2.15%,-0.41,-17.38%,32.02%,29.0%,-24.84%
600276,恒瑞医药,-2.01%,-0.37%,-0.19,-19.13%,34.85%,20.4%,3.52%
601012,隆基绿能,-4.54%,-1.34%,-0.21,-20.19%,36.52%,29.3%,-35.84%
300750,宁德时代,-25.09%,-14.28%,-0.77,-32.30%,31.85%,25.4%,9.03%
600887,伊利股份,-23.40%,-13.12%,-0.74,-27.77%,29.88%,25.9%,9.10%
